Designator,Mid X,Mid Y,Rotation,Layer
J1,108.114999,-102.645,0.0,bottom
J2,133.514999,-102.645,0.0,bottom
J3,158.914999,-102.645,0.0,bottom
J4,184.314999,-102.645,0.0,bottom
J5,235.114999,-102.645,0.0,bottom
J6,260.514999,-102.645,0.0,bottom
J7,285.914999,-102.645,0.0,bottom
J8,311.314999,-102.645,0.0,bottom
R1,101.495,-95.66,180.0,bottom
R2,126.768,-95.66,180.0,bottom
R3,152.168,-95.66,180.0,bottom
R4,177.5191,-95.66,180.0,bottom
R5,228.368,-95.66,180.0,bottom
R6,253.6175,-95.5838,180.0,bottom
R7,279.168,-95.66,180.0,bottom
R8,304.568,-95.4314,180.0,bottom
S1,108.48,-95.66,0.0,top
S2,133.88,-95.66,0.0,top
S3,159.28,-95.66,0.0,top
S4,184.68,-95.66,0.0,top
S5,235.48,-95.66,0.0,top
S6,260.65,-95.66,0.0,top
S7,286.28,-95.66,0.0,top
S8,311.68,-95.66,0.0,top
